saas_name,pricing_url
Box,https://www.box.com/pricing
Buffer,https://buffer.com/pricing
Canva,https://www.canva.com/pricing/
Circleci,https://circleci.com/pricing/
Clickup,https://clickup.com/pricing
Clockify,https://clockify.me/pricing
Crowdcast,https://www.crowdcast.io/pricing
Databox,https://databox.com/pricing
Deskera,https://www.deskera.com/pricing
Dropbox,https://www.dropbox.com/plans
Evernote,https://evernote.com/compare-plans
Figma,https://www.figma.com/pricing/
Github,https://github.com/pricing
Hypercontext,https://hypercontext.com/pricing
Jira,https://www.atlassian.com/es/software/jira/pricing
Mailchimp,https://mailchimp.com/pricing/marketing/
Microsoft,https://www.microsoft.com/en-us/microsoft-365/business/microsoft-365-plans-and-pricing
Notion,https://www.notion.com/pricing
Okta,https://www.okta.com/es-es/pricing/
Openphone,https://www.quo.com/pricing
Overleaf,https://www.overleaf.com/user/subscription/plans
Planable,https://planable.io/pricing/
Postman,https://www.postman.com/pricing/
Pumble,https://pumble.com/pricing
Quip,https://quip.com/about/pricing
Salesforce,https://www.salesforce.com/es/pricing/
Shopify,https://www.shopify.com/pricing
Slack,https://slack.com/pricing
Tableau,https://www.tableau.com/pricing
Trello,https://trello.com/es/pricing
Trustmary,https://trustmary.com/pricing/
Userguiding,https://userguiding.com/pricing
Webflow,https://webflow.com/pricing
Wrike,https://www.wrike.com/es/price/
Zapier,https://zapier.com/pricing
Zenhub,https://www.zenhub.com/pricing
Zoom,https://zoom.us/es/pricing
